                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.81539,                0.59783,                 1.1549,                0.83146,                0.84733,                0.86668,                0.61781,                    nan,                    nan,                    nan,              0.0013268,              0.0013268,              0.0013268
                     71,                 0.8135,                0.59042,                  1.148,                0.85852,                0.85695,                0.87913,                0.64422,                    nan,                    nan,                    nan,              0.0013169,              0.0013169,              0.0013169
                     72,                0.82172,                0.59558,                 1.1549,                0.87541,                0.85496,                0.89213,                0.63007,                    nan,                    nan,                    nan,               0.001307,               0.001307,               0.001307
                     73,                0.80998,                0.59831,                 1.1375,                0.86131,                0.85878,                0.89169,                 0.6435,                    nan,                    nan,                    nan,              0.0012971,              0.0012971,              0.0012971
                     74,                0.80903,                0.57213,                 1.1439,                0.83084,                 0.8811,                0.89325,                0.65045,                    nan,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     75,                0.80397,                 0.5928,                 1.1455,                0.87424,                0.85115,                0.89176,                0.64143,                    nan,                    nan,                    nan,              0.0012773,              0.0012773,              0.0012773
                     76,                0.80238,                0.57863,                 1.1462,                0.84317,                0.86641,                0.88677,                 0.5721,                    nan,                    nan,                    nan,              0.0012674,              0.0012674,              0.0012674
                     77,                0.80149,                 0.5781,                 1.1425,                0.86231,                0.84351,                0.86886,                0.61523,                    nan,                    nan,                    nan,              0.0012575,              0.0012575,              0.0012575
                     78,                0.80341,                  0.583,                 1.1472,                0.86632,                0.83588,                0.86929,                0.62428,                    nan,                    nan,                    nan,              0.0012476,              0.0012476,              0.0012476
                     79,                0.79206,                 0.5728,                 1.1399,                0.83844,                0.89133,                0.87661,                0.62718,                    nan,                    nan,                    nan,              0.0012377,              0.0012377,              0.0012377
                     80,                0.77208,                0.54732,                 1.1155,                 0.8453,                0.83422,                0.86757,                0.62057,                    nan,                    nan,                    nan,              0.0012278,              0.0012278,              0.0012278
                     81,                0.77623,                0.56578,                 1.1206,                0.85989,                0.82061,                0.86442,                0.60514,                    nan,                    nan,                    nan,              0.0012179,              0.0012179,              0.0012179
                     82,                0.78202,                0.56432,                  1.127,                0.88593,                0.83206,                0.87689,                0.61774,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     83,                0.78295,                0.56051,                  1.132,                0.87542,                0.82443,                0.85811,                0.61275,                    nan,                    nan,                    nan,              0.0011981,              0.0011981,              0.0011981
                     84,                0.77936,                0.57086,                 1.1247,                0.87574,                0.85878,                 0.8837,                0.63149,                    nan,                    nan,                    nan,              0.0011882,              0.0011882,              0.0011882
                     85,                0.78466,                0.56621,                 1.1279,                0.88429,                0.82824,                0.86955,                0.61595,                    nan,                    nan,                    nan,              0.0011783,              0.0011783,              0.0011783
                     86,                0.77554,                0.56116,                 1.1273,                0.84123,                0.84733,                0.87573,                 0.6267,                    nan,                    nan,                    nan,              0.0011684,              0.0011684,              0.0011684
                     87,                0.77023,                0.54637,                 1.1133,                0.88392,                0.82061,                0.87379,                0.62935,                    nan,                    nan,                    nan,              0.0011585,              0.0011585,              0.0011585
                     88,                0.76868,                0.54033,                 1.1146,                0.85995,                0.84368,                0.87755,                0.62937,                    nan,                    nan,                    nan,              0.0011486,              0.0011486,              0.0011486
                     89,                0.76942,                0.55444,                 1.1214,                0.90569,                0.80638,                0.87591,                0.60979,                    nan,                    nan,                    nan,              0.0011387,              0.0011387,              0.0011387
                     90,                0.77098,                0.55304,                 1.1132,                0.87534,                0.81679,                0.86736,                  0.622,                    nan,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     91,                0.76361,                0.55161,                 1.1126,                0.86339,                0.82016,                0.87219,                0.62803,                    nan,                    nan,                    nan,              0.0011189,              0.0011189,              0.0011189
                     92,                0.76329,                0.55149,                 1.1162,                  0.888,                0.81704,                0.87847,                0.62524,                    nan,                    nan,                    nan,               0.001109,               0.001109,               0.001109
                     93,                0.76469,                 0.5494,                 1.1211,                0.86445,                0.84733,                0.87074,                0.61593,                    nan,                    nan,                    nan,              0.0010991,              0.0010991,              0.0010991
                     94,                0.74132,                0.54609,                 1.0985,                0.82853,                0.84835,                0.86264,                0.61758,                    nan,                    nan,                    nan,              0.0010892,              0.0010892,              0.0010892
                     95,                0.74873,                 0.5344,                 1.1003,                0.88294,                0.82824,                0.85911,                0.61917,                    nan,                    nan,                    nan,              0.0010793,              0.0010793,              0.0010793
                     96,                0.76221,                0.53579,                  1.109,                0.88868,                0.82267,                0.86034,                0.61748,                    nan,                    nan,                    nan,              0.0010694,              0.0010694,              0.0010694
                     97,                0.72664,                 0.5266,                 1.0882,                0.88229,                0.82966,                0.86024,                0.61707,                    nan,                    nan,                    nan,              0.0010595,              0.0010595,              0.0010595
                     98,                 0.7382,                0.54401,                 1.1014,                0.86766,                0.83206,                0.87847,                0.62419,                    nan,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
                     99,                0.74279,                 0.5427,                 1.1015,                0.86692,                0.82051,                 0.8611,                0.62358,                    nan,                    nan,                    nan,              0.0010397,              0.0010397,              0.0010397
                    100,                0.75188,                0.53741,                 1.1037,                0.86328,                0.79533,                0.86082,                0.62697,                    nan,                    nan,                    nan,              0.0010298,              0.0010298,              0.0010298
                    101,                0.74619,                0.52755,                 1.1036,                0.83441,                0.81679,                0.84625,                0.60877,                    nan,                    nan,                    nan,              0.0010199,              0.0010199,              0.0010199
                    102,                0.74589,                0.53363,                  1.098,                0.86186,                0.84351,                0.86488,                0.61708,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
